#x0,x1,x2,y0,y1,y2
0.000000,0.000000,-0.509021,2.275149,17.558350,-42.347296
-0.048527,0.016364,-0.508266,1.838684,17.760585,-43.578345
-0.105078,0.025098,-0.507688,1.883921,17.147893,-43.985389
-0.157070,0.029696,-0.509071,2.188722,17.431151,-44.152613
-0.207058,0.028898,-0.512529,2.070011,17.429566,-44.336272
-0.261415,0.033060,-0.516482,1.774404,17.832261,-44.603636
-0.318347,0.037827,-0.521749,1.026162,17.864407,-44.975831
-0.376914,0.040433,-0.525799,2.045995,18.377536,-45.458905
-0.435196,0.036748,-0.521772,2.950989,18.226215,-45.696640
-0.489988,0.023133,-0.516447,1.728421,18.590126,-45.602571
-0.547759,0.007527,-0.517417,1.853282,18.443928,-46.401558
-0.608684,-0.017616,-0.524854,2.105979,19.313014,-46.341837
-0.653853,-0.042301,-0.531576,2.313713,18.988021,-46.300924
-0.697451,-0.071130,-0.535967,2.026749,19.402535,-46.677443
-0.740784,-0.103523,-0.531879,1.715177,18.535038,-46.816126
-0.784568,-0.138939,-0.519571,1.846435,19.838198,-46.740509
-0.824899,-0.173840,-0.510755,1.525179,20.724229,-46.842142
-0.867759,-0.208070,-0.506808,1.715086,20.087637,-47.534545
-0.912002,-0.239809,-0.505036,3.191014,19.862675,-48.427392
-0.955883,-0.270724,-0.506433,2.449951,20.005379,-47.522137
-0.999896,-0.303922,-0.511100,3.154288,20.697382,-48.387943
-1.043639,-0.340155,-0.518012,1.667627,20.614159,-48.279443
-1.086729,-0.379153,-0.526157,1.140760,21.122226,-48.030198
-1.129158,-0.420478,-0.533125,0.550778,21.511526,-48.919257
-1.168990,-0.466712,-0.531947,0.155919,22.273746,-48.682352
-1.207383,-0.514572,-0.527464,-0.104632,22.734135,-48.895471
-1.242200,-0.564735,-0.522268,-0.539552,22.430499,-49.161296
-1.274215,-0.617695,-0.515975,0.697870,23.204092,-49.457271
-1.300750,-0.671862,-0.513122,0.403206,24.268486,-49.925321
-1.323276,-0.726377,-0.516004,-0.201863,23.562439,-49.911067
-1.334920,-0.782735,-0.522084,1.124796,24.151995,-49.878568
-1.351496,-0.839590,-0.528225,0.794043,23.090951,-50.194434
-1.364285,-0.897316,-0.531734,0.908779,23.242472,-50.125920
-1.374866,-0.957715,-0.524168,1.774459,22.884443,-50.354544
-1.382679,-1.018768,-0.511118,2.188727,24.113708,-49.989481
-1.388702,-1.075834,-0.501856,2.138783,23.400976,-50.516520
-1.387889,-1.128727,-0.495344,2.743439,23.845532,-49.997721
-1.395872,-1.183278,-0.491665,3.149529,23.505059,-50.785915
-1.404904,-1.239368,-0.490935,3.695836,23.420499,-50.820070
-1.414688,-1.298697,-0.494824,3.760724,23.552716,-50.411925
-1.425787,-1.360782,-0.503085,3.927550,23.641828,-50.499844
-1.436269,-1.422726,-0.512420,4.316157,23.429819,-50.226065
-1.449534,-1.487633,-0.521230,4.112308,23.201634,-51.050403
-1.462275,-1.553509,-0.523050,4.058879,23.123569,-50.989217
-1.473393,-1.619369,-0.515669,3.828787,22.497592,-51.009298
-1.478367,-1.681613,-0.507648,3.554709,22.300326,-51.231571
-1.485217,-1.750431,-0.503724,4.404560,23.529957,-50.834538
-1.489833,-1.820602,-0.503415,4.491853,24.232831,-50.252977
-1.491960,-1.889769,-0.506696,4.199971,23.767002,-50.056919
-1.491624,-1.958858,-0.512778,4.415866,23.746308,-50.584515
-1.478708,-2.007870,-0.519943,4.214513,22.565757,-50.632635
-1.472805,-2.076985,-0.528354,4.354598,22.359436,-49.865056
-1.464793,-2.147123,-0.530720,4.971601,21.741703,-50.074384
-1.456294,-2.219780,-0.522622,4.868041,22.227196,-49.833337
-1.448042,-2.293674,-0.513171,4.735468,21.923717,-49.344508
-1.442392,-2.368521,-0.506556,5.409759,22.517975,-48.979915
-1.440465,-2.420252,-0.504312,5.120759,22.688871,-48.283397
-1.440036,-2.472260,-0.504573,6.035264,22.799528,-47.905740
-1.440536,-2.524637,-0.507589,5.932362,22.448443,-48.325144
-1.441540,-2.577293,-0.512962,6.278828,22.014138,-47.735615
-1.442728,-2.629953,-0.519623,5.860317,21.677006,-48.237502
-1.443832,-2.682220,-0.527440,6.138453,21.894619,-48.002039
-1.447198,-2.756390,-0.538106,4.724299,21.268916,-47.994261
-1.447917,-2.808281,-0.541332,4.623032,20.429581,-47.620203
-1.448331,-2.860717,-0.538475,4.513358,20.960616,-47.383880
-1.448362,-2.912569,-0.533137,3.987289,22.215061,-46.675930
-1.448019,-2.986605,-0.523739,4.530235,21.874222,-47.444730
-1.446204,-3.060504,-0.514896,4.688271,21.806498,-45.969203
-1.442692,-3.131800,-0.510146,4.370966,22.591021,-46.548676
-1.443058,-3.201002,-0.510508,3.675200,21.263159,-46.281772
-1.437357,-3.272471,-0.516098,3.065666,21.516744,-46.623156
-1.430440,-3.345059,-0.524251,3.268913,21.390930,-46.081982
-1.422936,-3.418367,-0.529570,3.453246,21.589619,-46.066841
-1.415381,-3.492286,-0.524693,3.310929,21.815404,-45.093737
-1.407744,-3.564830,-0.514292,3.586018,21.669394,-45.305348
-1.400360,-3.636930,-0.504175,2.785798,21.211287,-45.280447
-1.400527,-3.702630,-0.495997,2.697729,22.793157,-45.180058
-1.400067,-3.777503,-0.494002,3.240893,22.721859,-45.161534
-1.401177,-3.827874,-0.496818,3.839711,22.829950,-44.860534
-1.403069,-3.879070,-0.501978,3.689562,22.388399,-45.147440
-1.405702,-3.930941,-0.508285,3.555488,23.079405,-44.586637
-1.408937,-3.982576,-0.515528,3.303711,22.382208,-44.606586
-1.412397,-4.033898,-0.521736,3.313935,21.999690,-44.852196
-1.415798,-4.085527,-0.525021,2.989391,21.849080,-44.978699
-1.424334,-4.160675,-0.523657,2.356640,22.486644,-44.897597
-1.427412,-4.210415,-0.518404,2.534987,22.086571,-45.066387
-1.431209,-4.282671,-0.510317,2.562084,20.731907,-45.251243
-1.432135,-4.333450,-0.505401,3.341188,22.334585,-44.854384
-1.432043,-4.385179,-0.501874,2.770309,23.561176,-44.080504
-1.431371,-4.435661,-0.500695,2.343773,23.209910,-44.323426
-1.429402,-4.509658,-0.503816,2.517582,22.647403,-44.320495
